N1,T1,N2,T2,N3,T3,N4
4,360,6,392,1,256,4
2,296,8,287,7,217,5
2,280,8,208,7,161,5
2,320,8,264,7,240,5
2,304,6,232,6,296,7
2,312,6,208,6,280,7
2,304,6,224,6,296,7
3,311,8,264,8,280,6
3,1176,8,264,8,544,6
3,336,8,216,8,240,6
4,312,0,192,0,256,0
4,352,0,199,0,184,0
4,320,0,232,0,248,0
2,142,4,168,1,144,1
2,176,4,184,1,168,1
2,168,4,161,1,143,1
9,224,4,152,4,264,7
9,192,4,136,4,192,7
9,208,4,168,4,287,7
9,207,2,144,6,185,0
9,216,2,160,6,216,0
9,208,2,176,6,224,0
0,232,7,256,2,224,3
0,216,7,192,2,176,3
0,192,7,224,2,184,3
2,200,5,192,8,232,2
2,184,5,208,8,312,2
2,200,5,184,8,232,2
0,216,4,160,7,208,3
0,208,4,168,7,232,3
0,216,4,168,7,216,3
4,144,1,152,3,160,3
4,160,1,168,3,151,3
4,184,1,168,3,153,3
0,200,6,160,5,208,4
0,192,6,168,5,184,4
0,176,6,168,5,192,4
7,168,8,168,4,168,9
7,201,8,232,4,183,9
7,192,8,216,4,200,9
5,192,5,208,5,248,8
5,200,5,200,5,192,8
5,168,5,176,5,200,8
2,327,4,360,1,232,1
2,336,4,432,1,184,1
2,273,4,279,1,184,1
9,376,4,216,4,256,7
9,352,4,200,4,248,7
9,512,4,176,4,320,7
9,359,2,305,6,375,0
9,480,2,328,6,336,0
9,552,2,328,6,376,0
0,344,7,376,2,264,3
0,304,7,336,2,224,3
0,320,7,304,2,264,3
2,288,5,744,8,384,2
2,288,5,696,8,376,2
2,281,5,327,8,344,2
0,384,4,272,7,352,3
0,424,4,304,7,400,3
0,376,4,288,7,352,3
4,264,1,504,3,200,3
4,271,1,384,3,273,3
4,264,1,416,3,224,3
0,384,6,272,5,248,4
0,344,6,288,5,320,4
0,336,6,240,5,264,4
7,273,8,327,4,592,9
7,248,8,312,4,472,9
7,240,8,368,4,472,9
5,232,5,184,5,256,8
5,207,5,193,5,296,8
5,199,5,224,5,256,8
9,238,5,296,7,248,7
9,248,5,336,7,136,7
9,280,5,288,7,144,7
1,544,6,400,9,248,6
1,272,6,248,9,208,6
1,280,6,184,9,176,6
